source_id,screen_id,name,source_type,requirement_refs,status,required_states,artifact_path,notes
"HASH-016","门诊随访与终诊","opd-followup","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/opd-followup.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-017","急诊工作台","emergency","EXPLICIT","FR-091;AC-091;SCR-070","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/emergency.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-018","急诊预检分诊与分区","er-triage","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/er-triage.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-019","急诊病历与抢救记录","er-record","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/er-record.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-020","急诊护理、输液与执行","er-nursing","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/er-nursing.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-021","急诊抢救留观与去向","er-observation","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/er-observation.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-022","急诊会诊、交接与转运","er-handoff","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/er-handoff.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-023","住院医生工作站","inpatient","EXPLICIT","FR-022;AC-022;SCR-019;FR-082;AC-082;SCR-065;FR-090;AC-090","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/inpatient.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-024","住院患者总览","inpatient-overview","EXPLICIT","FR-083;AC-083;SCR-066","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/inpatient-overview.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-025","住院病程与文书中心","inpatient-course","EXPLICIT","FR-084;AC-084;SCR-067","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/inpatient-course.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-026","住院病历 · 专注编辑","inpatient-doc-editor","EXPLICIT","FR-085;AC-085;SCR-067","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/inpatient-doc-editor.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-027","住院病历质控与分级审签","inpatient-doc-qc","EXPLICIT","FR-086;AC-086;SCR-067","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/inpatient-doc-qc.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-028","住院文书版本与查房证据","inpatient-doc-versions","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/inpatient-doc-versions.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-029","住院医嘱与用药中心","ip-orders","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/ip-orders.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-030","住院检查检验与危急值","ip-results","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/ip-results.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-031","住院查房、会诊与协同","ip-consult","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/ip-consult.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-032","住院临床路径执行中心","ip-pathway","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/ip-pathway.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-033","出院病历与病案归档闭环","inpatient-discharge","EXPLICIT","FR-087;AC-087;SCR-068","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/inpatient-discharge.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-034","心内科一病区 · 护理工作台","ward","EXPLICIT","FR-014;AC-014;SCR-020;FR-050;AC-050","VERIFIED","default;loading;empty;partial;stale;offline;permission;session-expired;patient-switch;conflict;blocked;success;recovery","screens/ward.png","临床工作域；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-035","全院病历中心","record","EXPLICIT","FR-098;AC-098;SCR-074","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/record.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-036","门诊病历 · 专注编辑","record-editor","EXPLICIT","FR-009;AC-009;SCR-013;FR-032;AC-032;FR-060;AC-060;FR-099;AC-099;SCR-075","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/record-editor.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-037","病历来源与证据中心","record-sources","EXPLICIT","FR-100;AC-100;SCR-076/077","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/record-sources.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-038","病历质控与审签中心","record-qc","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/record-qc.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-039","病历签署确认","record-sign","EXPLICIT","FR-010;AC-010;SCR-014;FR-053;AC-053","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/record-sign.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-040","病历版本与法律证据","record-versions","EXPLICIT","FR-011;AC-011;SCR-014;FR-101;AC-101;SCR-078","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/record-versions.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-041","病历版本差异","record-diff","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/record-diff.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-042","LIS 检验报告调阅","lis-report","EXPLICIT","FR-103;AC-103;SCR-079/080","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/lis-report.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-043","PACS 影像调阅","pacs-viewer","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/pacs-viewer.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-044","病案资产与共享文档中心","archive-assets","EXPLICIT","FR-018;AC-018;SCR-033;FR-094;AC-094;SCR-072","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/archive-assets.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-045","病案目录与完整性","archive-catalog","EXPLICIT","FR-105;AC-105;SCR-085-087","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/archive-catalog.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-046","纸质病历扫描与智能编目","archive-scan","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/archive-scan.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-047","病案完整性、签名与长期验真","archive-integrity","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/archive-integrity.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-048","病案借阅、复制与对外提供","archive-borrow","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/archive-borrow.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-049","病案长期保存与恢复验证","archive-preservation","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/archive-preservation.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-050","病案资产证据详情","asset-detail","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;autosaving;saved;offline;permission;concurrent-conflict;rule-blocked;signed;corrected;recovery","screens/asset-detail.png","病历与病案；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-051","诊疗执行中心","care-operations","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/care-operations.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-052","费用、收退费、预交与结算","billing","EXPLICIT","FR-040;AC-040;SCR-022","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/billing.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-053","门诊药房审方与调剂","outpatient-pharmacy","EXPLICIT","FR-041;AC-041;SCR-023","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/outpatient-pharmacy.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-054","住院药房、配液与床旁给药","inpatient-pharmacy","EXPLICIT","FR-042;AC-042;SCR-024","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/inpatient-pharmacy.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-055","检验工作台","lab-workbench","EXPLICIT","FR-043;AC-043;SCR-025","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/lab-workbench.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-056","病理科工作台","pathology-workbench","EXPLICIT","FR-126;AC-126;SCR-104","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/pathology-workbench.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-057","检查影像工作台","imaging-workbench","EXPLICIT","FR-044;AC-044;SCR-026","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/imaging-workbench.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-058","一般治疗工作台","therapy-workbench","EXPLICIT","FR-045;AC-045;SCR-027","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/therapy-workbench.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-059","围手术期排程与安全核查","surgery-schedule","EXPLICIT","FR-046;AC-046;SCR-028","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/surgery-schedule.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-060","麻醉时间轴与复苏","anesthesia-workbench","EXPLICIT","FR-047;AC-047;SCR-029","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/anesthesia-workbench.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-061","监护绑定、趋势与告警","device-monitoring","EXPLICIT","FR-048;AC-048;SCR-030","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/device-monitoring.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-062","输血全链工作台","transfusion","EXPLICIT","FR-049;AC-049;SCR-031","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/transfusion.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-063","统一临床任务与临床路径","clinical-tasks","EXPLICIT","FR-051;AC-051;SCR-021;FR-092;AC-092;SCR-071;FR-095;AC-095","VERIFIED","default;loading;empty;partial;permission;offline;timeout;duplicate;verification;hard-block;success;compensation","screens/clinical-tasks.png","诊疗执行；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-064","医疗质量中心","quality-center","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/quality-center.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-065","院科病历质控与整改","department-qc","EXPLICIT","FR-016;AC-016;SCR-032;FR-036;AC-036;FR-061;AC-061","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/department-qc.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-066","医疗质量与电子病历评级看板","quality-rating","EXPLICIT","FR-055;AC-055;SCR-034","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/quality-rating.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-067","院感、传染病与不良事件","infection-events","EXPLICIT","FR-052;AC-052;SCR-035","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/infection-events.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-068","临床资质与医疗授权中心","credentials","EXPLICIT","FR-096;AC-096;SCR-073;FR-097;AC-097","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/credentials.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-069","数据中心","data-center","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/data-center.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-070","外部系统集成与互操作中心","integration","EXPLICIT","FR-102;AC-102;SCR-081/082","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/integration.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-071","连接器目录与能力卡","integration-connectors","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/integration-connectors.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-072","字段映射与集成路由","integration-mapping","EXPLICIT","FR-067;AC-067;SCR-045","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/integration-mapping.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-073","集成消息追踪与业务对账","integration-messages","EXPLICIT","FR-023;AC-023;SCR-036;FR-104;AC-104;SCR-083/084","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/integration-messages.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-074","历史数据迁移与上线切换","migration","EXPLICIT","FR-038;AC-038;SCR-037","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/migration.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-075","全院数据质量与问题工单","data-quality","EXPLICIT","FR-054;AC-054;SCR-038","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/data-quality.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-076","医疗设备目录与接入状态","devices","EXPLICIT","FR-059;AC-059;SCR-039","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/devices.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-077","科研项目与统计中心","research","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/research.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-078","科研队列构建器","cohort-builder","EXPLICIT","FR-106;AC-106;SCR-088/089","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/cohort-builder.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-079","科研统计分析","research-stats","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/research-stats.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-080","科研数据申请与受控交付","research-dataset","EXPLICIT","FR-107;AC-107;SCR-090","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/research-dataset.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-081","ai-center","ai-center","EXPLICIT","Prototype SPEC v0.13","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/ai-center.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-082","AI医助 Eva","ai-assistant","EXPLICIT","FR-031;AC-031;SCR-017;FR-120;AC-120;GLOBAL-AI","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/ai-assistant.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-083","AI 提醒证据详情","ai-reminder-detail","EXPLICIT","FR-121;AC-121;GLOBAL-AI/#ai-reminder-detail","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/ai-reminder-detail.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-084","环境记录与转写审阅","ai-capture","EXPLICIT","FR-122;AC-122;GLOBAL-AI/#ai-capture","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/ai-capture.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-085","AI 候选动作与审批","ai-action-review","EXPLICIT","FR-123;AC-123;#ai-action-review","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/ai-action-review.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-086","AI医助 Eva 工作策略与效果治理","ai-assistant-policy","EXPLICIT","FR-124;AC-124;#ai-assistant-policy","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/ai-assistant-policy.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-087","基座模型目录与路由","models","EXPLICIT","FR-070;AC-070;SCR-048","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/models.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
"HASH-088","模型连接与数据边界","model-connection","EXPLICIT","FR-071;AC-071;SCR-049","VERIFIED","default;loading;empty;partial;stale;permission;timeout;conflict;approval;publishing;failed;rollback;success","screens/model-connection.png","治理与管理；A 临床可信蓝；中文标题/唯一一级激活/AI 入口/横向溢出已核查"
