task_id,title,requirement_refs,depends_on,parallel_group,risk,owner_skill,status
CH-DOC-01,OUTPATIENT_NOTE_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,HIGH,haonan-s008-coder,PLANNED
CH-DOC-02,EMERGENCY_NOTE_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,CRITICAL,haonan-s008-coder,PLANNED
CH-DOC-03,ADMISSION_NOTE_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,HIGH,haonan-s008-coder,PLANNED
CH-DOC-04,FIRST_COURSE_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,CRITICAL,haonan-s008-coder,PLANNED
CH-DOC-05,PROGRESS_NOTE_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,HIGH,haonan-s008-coder,PLANNED
CH-DOC-06,WARD_ROUND_NOTE_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,CRITICAL,haonan-s008-coder,PLANNED
CH-DOC-07,CONSULT_NOTE_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,CRITICAL,haonan-s008-coder,PLANNED
CH-DOC-08,PERIOPERATIVE_NOTE_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,CRITICAL,haonan-s008-coder,PLANNED
CH-DOC-09,NURSING_HANDOFF_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,CRITICAL,haonan-s008-coder,PLANNED
CH-DOC-10,DISCHARGE_NOTE_DRAFTER,AOPT-FR-033|AC-033,DEC-002|PLT-013|MAIN-DOC-001,C-DOC,CRITICAL,haonan-s008-coder,PLANNED
CH-QC-01,WRITING_QC_REVIEWER,AOPT-FR-034|AC-034,DEC-002|PLT-013|MAIN-QC-001,C-QC,HIGH,haonan-s008-coder,PLANNED
CH-QC-02,PRE_SIGN_QC_REVIEWER,AOPT-FR-034|AC-034,DEC-002|PLT-013|MAIN-QC-001,C-QC,CRITICAL,haonan-s008-coder,PLANNED
CH-QC-03,ACTIVE_RECORD_QC_REVIEWER,AOPT-FR-034|AC-034,DEC-002|PLT-013|MAIN-QC-001,C-QC,HIGH,haonan-s008-coder,PLANNED
CH-QC-04,TERMINAL_RECORD_QC_REVIEWER,AOPT-FR-034|AC-034,DEC-002|PLT-013|MAIN-QC-001,C-QC,CRITICAL,haonan-s008-coder,PLANNED
CH-QC-05,CORRECTION_CONSISTENCY_REVIEWER,AOPT-FR-034|AC-034,DEC-002|PLT-013|MAIN-QC-001,C-QC,CRITICAL,haonan-s008-coder,PLANNED
CH-RES-01,NEW_RESULT_INTAKE_AGENT,AOPT-FR-035|AC-035,DEC-002|PLT-013|MAIN-RES-001,C-RES,HIGH,haonan-s008-coder,PLANNED
CH-RES-02,RESULT_TREND_REVIEWER,AOPT-FR-035|AC-035,DEC-002|PLT-013|MAIN-RES-001,C-RES,CRITICAL,haonan-s008-coder,PLANNED
CH-RES-03,CRITICAL_RESULT_CONTEXT_AGENT,AOPT-FR-035|AC-035,DEC-002|PLT-013|MAIN-RES-001,C-RES,CRITICAL,haonan-s008-coder,PLANNED
CH-RES-04,PENDING_RESULT_TRACKER,AOPT-FR-035|AC-035,DEC-002|PLT-013|MAIN-RES-001,C-RES,HIGH,haonan-s008-coder,PLANNED
CH-RES-05,FOLLOWUP_TASK_PLANNER,AOPT-FR-035|AC-035,DEC-002|PLT-013|MAIN-RES-001,C-RES,CRITICAL,haonan-s008-coder,PLANNED
CH-RES-06,CORRECTED_RESULT_RECONCILER,AOPT-FR-035|AC-035,DEC-002|PLT-013|MAIN-RES-001,C-RES,CRITICAL,haonan-s008-coder,PLANNED
CH-CARE-01,CONSULT_PREPARATION_AGENT,AOPT-FR-036|AC-036,DEC-002|PLT-013|MAIN-CARE-001,C-CARE,HIGH,haonan-s008-coder,PLANNED
CH-CARE-02,MDT_BRIEF_AGENT,AOPT-FR-036|AC-036,DEC-002|PLT-013|MAIN-CARE-001,C-CARE,CRITICAL,haonan-s008-coder,PLANNED
CH-CARE-03,TRANSFER_HANDOFF_AGENT,AOPT-FR-036|AC-036,DEC-002|PLT-013|MAIN-CARE-001,C-CARE,CRITICAL,haonan-s008-coder,PLANNED
CH-CARE-04,DISCHARGE_TRANSITION_AGENT,AOPT-FR-036|AC-036,DEC-002|PLT-013|MAIN-CARE-001,C-CARE,CRITICAL,haonan-s008-coder,PLANNED
CH-CARE-05,FOLLOWUP_COORDINATION_AGENT,AOPT-FR-036|AC-036,DEC-002|PLT-013|MAIN-CARE-001,C-CARE,CRITICAL,haonan-s008-coder,PLANNED
CH-CARE-06,TASK_RECONCILIATION_AGENT,AOPT-FR-036|AC-036,DEC-002|PLT-013|MAIN-CARE-001,C-CARE,HIGH,haonan-s008-coder,PLANNED
MAIN-ENC-002,ENCOUNTER_SUMMARIZER家族Composition发布,AOPT-FR-032|AC-032,CH-ENC-01|CH-ENC-02|CH-ENC-03|CH-ENC-04|CH-ENC-05|CH-ENC-06,M-INT,HIGH,haonan-s008-coder,PLANNED
MAIN-DOC-002,DOCUMENT_DRAFTER家族Composition发布,AOPT-FR-033|AC-033,CH-DOC-01|CH-DOC-02|CH-DOC-03|CH-DOC-04|CH-DOC-05|CH-DOC-06|CH-DOC-07|CH-DOC-08|CH-DOC-09|CH-DOC-10,M-INT,CRITICAL,haonan-s008-coder,PLANNED
MAIN-QC-002,RECORD_QC家族Composition发布,AOPT-FR-034|AC-034,CH-QC-01|CH-QC-02|CH-QC-03|CH-QC-04|CH-QC-05,M-INT,CRITICAL,haonan-s008-coder,PLANNED
MAIN-RES-002,RESULT_FOLLOWUP_COORDINATOR家族Composition发布,AOPT-FR-035|AC-035,CH-RES-01|CH-RES-02|CH-RES-03|CH-RES-04|CH-RES-05|CH-RES-06,M-INT,CRITICAL,haonan-s008-coder,PLANNED
MAIN-CARE-002,CARE_COORDINATOR家族Composition发布,AOPT-FR-036|AC-036,CH-CARE-01|CH-CARE-02|CH-CARE-03|CH-CARE-04|CH-CARE-05|CH-CARE-06,M-INT,CRITICAL,haonan-s008-coder,PLANNED
UX-001,任务优先入口与主Agent责任感,AOPT-FR-001|FR-005,PLT-014|MAIN-ENC-001|MAIN-DOC-001,U0,HIGH,haonan-s008-coder,PLANNED
UX-002,子Agent协作卡交接与贡献可见,AOPT-FR-030|FR-031,UX-001|PLT-012|PLT-014,U1,HIGH,haonan-s008-coder,PLANNED
UX-003,来源差异未确认项与Proposal审阅,AOPT-FR-004..011,UX-002|PLT-011,U2,CRITICAL,haonan-s008-coder,PLANNED
UX-004,Agent控制面升级,AOPT-FR-012..024|FR-027..031,PLT-002|PLT-009|PLT-012|PLT-013|PLT-014,U1,HIGH,haonan-s008-coder,PLANNED
UX-005,状态权限移动端与全路由审计,AOPT-NFR-006|NFR-009|NFR-010,UX-001|UX-002|UX-003|UX-004,U3,HIGH,haonan-s009-test,PLANNED
PILOT-001,住院查房Composition-Release,AOPT-Q-010|FR-032|FR-033,DEC-001|DEC-006|MAIN-ENC-001|MAIN-DOC-001|CH-ENC-04|CH-DOC-06,PILOT,CRITICAL,haonan-s008-coder,PLANNED
PILOT-002,查房小南UI纵向接线,AOPT-AC-032|AC-033,PILOT-001|UX-001|UX-002|UX-003,PILOT,HIGH,haonan-s008-coder,PLANNED
PILOT-003,首链Composition-Eval红队与临床评审,AOPT-FR-023|FR-024|FR-031,PILOT-001|PILOT-002|PLT-013,PILOT,CRITICAL,haonan-s009-test,PLANNED
PILOT-004,首链影子运行与负担指标,AOPT-FR-022..025|NFR-012,PILOT-003|DEC-003|DEC-004,PILOT,CRITICAL,haonan-s011-devops,PLANNED
REL-001,发布候选冻结与证据包,AOPT-DOD|NFR-011,PILOT-004|UX-005,R0,HIGH,haonan-s012-docs,PLANNED
REL-002,commit,AOPT-DOD,REL-001,R1,HIGH,haonan-s008-coder,PLANNED
REL-003,push-PR与远程CI,AOPT-DOD,REL-002,R2,HIGH,haonan-s011-devops,PLANNED
REL-004,生产数据库迁移,AOPT-NFR-011|RISK-023,REL-003,R3,CRITICAL,haonan-s011-devops,PLANNED
REL-005,影子灰度开启与首个T3适配器,AOPT-FR-019|FR-024,REL-004|DEC-005,R4,CRITICAL,haonan-s011-devops,PLANNED
REL-006,生产扩面与回滚演练,AOPT-NFR-010..015,REL-005,R5,CRITICAL,haonan-s011-devops,PLANNED
