screen_id,asset_id,usage,required,notes
"inpatient-overview","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"inpatient-course","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"inpatient-doc-editor","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"inpatient-doc-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"inpatient-doc-versions","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ip-orders","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ip-results","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ip-consult","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ip-pathway","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"inpatient-discharge","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ward","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"record-editor","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"record-sources","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"record-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"record-sign","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"record-versions","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"record-diff","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"lis-report","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"pacs-viewer","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"archive-assets","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"archive-catalog","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"archive-scan","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"archive-integrity","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"archive-borrow","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"archive-preservation","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"asset-detail","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"care-operations","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"billing","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"outpatient-pharmacy","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"inpatient-pharmacy","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"lab-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"pathology-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"imaging-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"therapy-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"surgery-schedule","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"anesthesia-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"device-monitoring","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"transfusion","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"clinical-tasks","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"quality-center","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"department-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"quality-rating","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"infection-events","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"credentials","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"data-center","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"integration","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"integration-connectors","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"integration-mapping","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"integration-messages","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"migration","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"data-quality","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"devices","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"research","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"cohort-builder","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"research-stats","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"research-dataset","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ai-center","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ai-assistant","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ai-reminder-detail","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ai-capture","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ai-action-review","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ai-assistant-policy","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"models","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"model-connection","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"model-routing","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"model-evaluation","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"agent-catalog","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"agent","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"agent-context","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"tool-catalog","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"skill-catalog","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"agent-compose","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"agent-evals","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"aiops","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"workflow","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"capability-pack","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"specialty-coverage","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"form-designer","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"rule-center","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"scope-designer","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"config-release","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"config-upgrade","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"install","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"backup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"operations","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"release-gates","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"opensource","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-org","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-users","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-roles","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-permissions","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-auth","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-dictionaries","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-master-data","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-templates","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-parameters","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-jobs","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"admin-audit","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"specialty-center","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"obgyn-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"obgyn-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"obgyn-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"obgyn-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"obgyn-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"obgyn-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"obgyn-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"reproductive-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"reproductive-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"reproductive-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"reproductive-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"reproductive-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"reproductive-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"reproductive-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"pediatrics-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"pediatrics-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"pediatrics-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"pediatrics-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"pediatrics-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"pediatrics-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"pediatrics-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"neonatal-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"neonatal-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"neonatal-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"neonatal-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"neonatal-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"neonatal-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"neonatal-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"mental-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"mental-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"mental-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"mental-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"mental-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"mental-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"mental-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ophthalmology-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ophthalmology-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ophthalmology-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ophthalmology-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ophthalmology-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ophthalmology-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ophthalmology-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ent-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ent-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ent-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ent-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ent-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ent-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"ent-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dental-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dental-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dental-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dental-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dental-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dental-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dental-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dermatology-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dermatology-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dermatology-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dermatology-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dermatology-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dermatology-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"dermatology-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"tcm-workbench","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"tcm-record","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"tcm-evidence","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"tcm-treatment","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"tcm-care","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"tcm-followup","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"tcm-qc","ICON-001","导航、操作与医疗语义图标","true","不使用 Emoji 作为最终图标"
"specialty-center","VISUAL-001","核心专科共享临床内核主视觉","true","无真实患者数据"
"obgyn-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
"reproductive-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
"pediatrics-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
"neonatal-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
"mental-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
"ophthalmology-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
"ent-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
"dental-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
"dermatology-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
"tcm-evidence","VISUAL-002","设备与外部系统安全降级状态","true","用于接口异常、隔离与人工复核状态"
