fr,ac,scr,route,owner_domain,status
FR-115,AC-115,SCR-098,#admin-master-data,系统管理,VERIFIED
FR-116,AC-116,SCR-099,#admin-templates,系统管理,VERIFIED
FR-117,AC-117,SCR-100,#admin-parameters,系统管理,VERIFIED
FR-118,AC-118,SCR-101,#admin-jobs,系统管理,VERIFIED
FR-119,AC-119,SCR-102,#admin-audit,系统管理,VERIFIED
FR-120,AC-120,GLOBAL-AI,#ai-assistant,AI中心,VERIFIED
FR-121,AC-121,GLOBAL-AI/#ai-reminder-detail,#ai-reminder-detail,AI中心,VERIFIED
FR-122,AC-122,GLOBAL-AI/#ai-capture,#ai-capture,AI中心,VERIFIED
FR-123,AC-123,#ai-action-review,#ai-action-review,AI中心,VERIFIED
FR-124,AC-124,#ai-assistant-policy,#ai-assistant-policy,AI中心,VERIFIED
FR-125,AC-125,SCR-103,#specialty-coverage,业务配置,VERIFIED
FR-126,AC-126,SCR-104,#pathology-workbench,医疗协同中心,VERIFIED
FR-127,AC-127,GLOBAL-ROUTE-RULE,#clinical,全局,VERIFIED
FR-128,AC-128,SCR-105,#opd-record,门诊工作台,VERIFIED
FR-129,AC-129,SCR-106–109/SCR-146–148,#obgyn-workbench,核心专科工作台,VERIFIED
FR-130,AC-130,SCR-110–113/SCR-149–151,#reproductive-workbench,核心专科工作台,VERIFIED
FR-131,AC-131,SCR-114–117/SCR-152–154,#pediatrics-workbench,核心专科工作台,VERIFIED
FR-132,AC-132,SCR-118–121/SCR-155–157,#neonatal-workbench,核心专科工作台,VERIFIED
FR-133,AC-133,SCR-122–125/SCR-158–160,#mental-workbench,核心专科工作台,VERIFIED
FR-134,AC-134,SCR-126–129/SCR-161–163,#ophthalmology-workbench,核心专科工作台,VERIFIED
FR-135,AC-135,SCR-130–133/SCR-164–166,#ent-workbench,核心专科工作台,VERIFIED
FR-136,AC-136,SCR-134–137/SCR-167–169,#dental-workbench,核心专科工作台,VERIFIED
FR-137,AC-137,SCR-138–141/SCR-170–172,#dermatology-workbench,核心专科工作台,VERIFIED
FR-138,AC-138,SCR-142–145/SCR-173–175,#tcm-workbench,核心专科工作台,VERIFIED
